Metric,albedo,emissivity,CE,CH,rso_scale,cloud_scale,wind_exponent,Qsw,Qlw,Qe,Qh,Qnet,Residual_W_m2
Spring,0.05,0.99,0.00156,0.00156,0.9,1.2,0.16666666666666666,142.00070818854812,-28.46178806393158,-31.448744452663757,1.4850897922683408,83.57526546422112,
Spring,0.05,0.99,0.00156,0.00156,1.1,0.8,0.125,142.00070818854812,-45.94557228255559,-29.408952868288786,1.3887656396501098,68.03494867735384,
Spring,0.05,0.99,0.00156,0.00156,1.1,0.8,0.16666666666666666,142.00070818854812,-45.94557228255559,-31.448744452663757,1.4850897922683408,66.09148124559711,
Spring,0.05,0.99,0.00156,0.00156,1.1,1.2,0.125,142.00070818854812,-24.475085420505934,-29.408952868288786,1.3887656396501098,89.50543553940349,
Spring,0.05,0.99,0.00156,0.00156,1.1,1.2,0.16666666666666666,142.00070818854812,-24.475085420505934,-31.448744452663757,1.4850897922683408,87.56196810764676,
Spring,0.1,0.96,0.00104,0.00104,0.9,0.8,0.125,134.52698670494033,-35.85232428444425,-19.605968578859187,0.9258437597667397,79.99453760140362,
Spring,0.1,0.96,0.00104,0.00104,0.9,0.8,0.16666666666666666,134.52698670494033,-35.85232428444425,-20.965829635109166,0.9900598615122271,78.69889264689913,
Spring,0.1,0.96,0.00104,0.00104,0.9,1.2,0.125,134.52698670494033,-15.801557983197483,-19.605968578859187,0.9258437597667397,100.04530390265039,
Spring,0.1,0.96,0.00104,0.00104,0.9,1.2,0.16666666666666666,134.52698670494033,-15.801557983197483,-20.965829635109166,0.9900598615122271,98.74965894814589,
Spring,0.1,0.96,0.00104,0.00104,1.1,0.8,0.125,134.52698670494033,-33.28534220182149,-19.605968578859187,0.9258437597667397,82.56151968402638,
Spring,0.1,0.96,0.00104,0.00104,1.1,0.8,0.16666666666666666,134.52698670494033,-33.28534220182149,-20.965829635109166,0.9900598615122271,81.26587472952188,
Spring,0.1,0.96,0.00104,0.00104,1.1,1.2,0.125,134.52698670494033,-11.814855339771839,-19.605968578859187,0.9258437597667397,104.03200654607603,
Spring,0.1,0.96,0.00104,0.00104,1.1,1.2,0.16666666666666666,134.52698670494033,-11.814855339771839,-20.965829635109166,0.9900598615122271,102.73636159157154,
Spring,0.1,0.96,0.00104,0.00156,0.9,0.8,0.125,134.52698670494033,-35.85232428444425,-19.605968578859187,1.3887656396501098,80.45745948128699,
Spring,0.1,0.96,0.00104,0.00156,0.9,0.8,0.16666666666666666,134.52698670494033,-35.85232428444425,-20.965829635109166,1.4850897922683408,79.19392257765524,
Spring,0.1,0.96,0.00104,0.00156,0.9,1.2,0.125,134.52698670494033,-15.801557983197483,-19.605968578859187,1.3887656396501098,100.50822578253376,
Spring,0.1,0.96,0.00104,0.00156,0.9,1.2,0.16666666666666666,134.52698670494033,-15.801557983197483,-20.965829635109166,1.4850897922683408,99.24468887890201,
Spring,0.1,0.96,0.00104,0.00156,1.1,0.8,0.125,134.52698670494033,-33.28534220182149,-19.605968578859187,1.3887656396501098,83.02444156390975,
Spring,0.1,0.96,0.00104,0.00156,1.1,0.8,0.16666666666666666,134.52698670494033,-33.28534220182149,-20.965829635109166,1.4850897922683408,81.760904660278,
Spring,0.1,0.96,0.00104,0.00156,1.1,1.2,0.125,134.52698670494033,-11.814855339771839,-19.605968578859187,1.3887656396501098,104.4949284259594,
Spring,0.1,0.96,0.00104,0.00156,1.1,1.2,0.16666666666666666,134.52698670494033,-11.814855339771839,-20.965829635109166,1.4850897922683408,103.23139152232766,
Spring,0.1,0.96,0.00156,0.00104,0.9,0.8,0.125,134.52698670494033,-35.85232428444425,-29.408952868288786,0.9258437597667397,70.19155331197402,
Spring,0.1,0.96,0.00156,0.00104,0.9,0.8,0.16666666666666666,134.52698670494033,-35.85232428444425,-31.448744452663757,0.9900598615122271,68.21597782934454,
Spring,0.1,0.96,0.00156,0.00104,0.9,1.2,0.125,134.52698670494033,-15.801557983197483,-29.408952868288786,0.9258437597667397,90.24231961322079,
Spring,0.1,0.96,0.00156,0.00104,0.9,1.2,0.16666666666666666,134.52698670494033,-15.801557983197483,-31.448744452663757,0.9900598615122271,88.2667441305913,
Spring,0.1,0.96,0.00156,0.00104,1.1,0.8,0.125,134.52698670494033,-33.28534220182149,-29.408952868288786,0.9258437597667397,72.75853539459678,
Spring,0.1,0.96,0.00156,0.00104,1.1,0.8,0.16666666666666666,134.52698670494033,-33.28534220182149,-31.448744452663757,0.9900598615122271,70.7829599119673,
