Scenario_ID,Parameter,Case,Season,Mean_Qnet_W_m2,Change_W_m2,Change_percent_of_baseline_season,Mean_Qsw_W_m2,Mean_Qlw_W_m2,Mean_Qe_W_m2,Mean_Qh_W_m2
CH_-10,Sensible transfer coefficient CH,-10%,Autumn,33.729790709047904,0.2905693434879808,0.868947695616044,107.51940371531228,-35.338975411306826,-35.83551350356578,-2.615124091391775
CH_-10,Sensible transfer coefficient CH,-10%,Winter,-5.226560590401596,0.15348149372595543,2.852793553023751,65.38420215201465,-57.81933927596285,-11.41009002291982,-1.381333443533571
CH_+0,Sensible transfer coefficient CH,+0%,Spring,89.62688704978221,0.0,0.0,139.011219595105,-25.353357411434864,-25.222023297874475,1.1910481639865593
CH_+0,Sensible transfer coefficient CH,+0%,Summer,91.4077389716214,0.0,0.0,150.90736060743427,-8.848507776770349,-50.35730363358201,-0.2938102254605079
CH_+0,Sensible transfer coefficient CH,+0%,Autumn,33.43922136555992,0.0,0.0,107.51940371531228,-35.338975411306826,-35.83551350356578,-2.9056934348797494
CH_+0,Sensible transfer coefficient CH,+0%,Winter,-5.380042084127549,2.6645352591003757e-15,4.952629026753175e-14,65.38420215201465,-57.81933927596285,-11.41009002291982,-1.534814937259523
CH_+10,Sensible transfer coefficient CH,+10%,Spring,89.74599186618086,0.11910481639864656,0.13288960525036553,139.011219595105,-25.353357411434864,-25.222023297874475,1.3101529803852154
CH_+10,Sensible transfer coefficient CH,+10%,Summer,91.37835794907535,-0.029381022546047575,-0.03214281731131022,150.90736060743427,-8.848507776770349,-50.35730363358201,-0.3231912480065587
CH_+10,Sensible transfer coefficient CH,+10%,Autumn,33.14865202207196,-0.2905693434879666,-0.8689476956160016,107.51940371531228,-35.338975411306826,-35.83551350356578,-3.196262778367725
CH_+10,Sensible transfer coefficient CH,+10%,Winter,-5.533523577853502,-0.1534814937259501,-2.852793553023652,65.38420215201465,-57.81933927596285,-11.41009002291982,-1.6882964309854753
CH_+20,Sensible transfer coefficient CH,+20%,Spring,89.86509668257953,0.23820963279732155,0.26577921050076275,139.011219595105,-25.353357411434864,-25.222023297874475,1.4292577967838718
CH_+20,Sensible transfer coefficient CH,+20%,Summer,91.34897692652929,-0.05876204509210936,-0.06428563462263596,150.90736060743427,-8.848507776770349,-50.35730363358201,-0.3525722705526095
CH_+20,Sensible transfer coefficient CH,+20%,Autumn,32.85808267858397,-0.5811386869759545,-1.737895391232067,107.51940371531228,-35.338975411306826,-35.83551350356578,-3.4868321218557
CH_+20,Sensible transfer coefficient CH,+20%,Winter,-5.687005071579454,-0.306962987451902,-5.705587106047337,65.38420215201465,-57.81933927596285,-11.41009002291982,-1.8417779247114276
RSO_0.9,Clear-sky radiation scale,-10%,Spring,87.47093547142,-2.155951578362206,-2.4054741264914266,139.011219595105,-27.509308989797084,-25.222023297874475,1.1910481639865593
RSO_0.9,Clear-sky radiation scale,-10%,Summer,89.91340432252545,-1.494334649095947,-1.6348010200316634,150.90736060743427,-10.342842425866301,-50.35730363358201,-0.29381022546050783
RSO_0.9,Clear-sky radiation scale,-10%,Autumn,31.17216859610823,-2.267052769451695,-6.779621883739799,107.51940371531228,-37.60602818075853,-35.83551350356578,-2.9056934348797494
RSO_0.9,Clear-sky radiation scale,-10%,Winter,-6.798929558520426,-1.418887474392874,-26.373166830403456,65.38420215201465,-59.238226750355736,-11.41009002291982,-1.534814937259523
RSO_1.0,Clear-sky radiation scale,baseline,Spring,89.6268870497822,-1.4210854715202004e-14,-1.5855571004389286e-14,139.011219595105,-25.353357411434875,-25.222023297874475,1.1910481639865593
RSO_1.0,Clear-sky radiation scale,baseline,Summer,91.4077389716214,0.0,0.0,150.90736060743427,-8.848507776770363,-50.35730363358201,-0.29381022546050783
RSO_1.0,Clear-sky radiation scale,baseline,Autumn,33.43922136555991,-1.4210854715202004e-14,-4.2497564640778977e-14,107.51940371531228,-35.33897541130683,-35.83551350356578,-2.9056934348797494
RSO_1.0,Clear-sky radiation scale,baseline,Winter,-5.380042084127558,-6.217248937900877e-15,-1.1556134395757408e-13,65.38420215201465,-57.81933927596287,-11.41009002291982,-1.534814937259523
RSO_1.1,Clear-sky radiation scale,+10%,Spring,91.26430833919878,1.6374212894165652,1.8269308946399963,139.011219595105,-23.71593612201831,-25.222023297874475,1.1910481639865593
RSO_1.1,Clear-sky radiation scale,+10%,Summer,92.63744389299407,1.2297049213726723,1.3452962902347345,150.90736060743427,-7.6188028553976626,-50.35730363358201,-0.29381022546050783
RSO_1.1,Clear-sky radiation scale,+10%,Autumn,35.2243727326323,1.7851513670723733,5.3384956173380145,107.51940371531228,-33.55382404423445,-35.83551350356578,-2.9056934348797494
RSO_1.1,Clear-sky radiation scale,+10%,Winter,-4.338823514613298,1.0412185695142533,19.353353621268212,65.38420215201465,-56.778120706448604,-11.41009002291982,-1.534814937259523
CLOUD_0.8,Inferred cloud-cover scale,-20%,Spring,76.34867854919851,-13.278208500583702,-14.814983469423048,139.011219595105,-38.63156591201857,-25.222023297874475,1.1910481639865593
CLOUD_0.8,Inferred cloud-cover scale,-20%,Summer,85.15500726396928,-6.252731707652117,-6.840483943699067,150.90736060743427,-15.10123948442245,-50.35730363358201,-0.29381022546050783
CLOUD_0.8,Inferred cloud-cover scale,-20%,Autumn,21.76802772013512,-11.671193645424804,-34.902707565569465,107.51940371531228,-47.010169056731634,-35.83551350356578,-2.9056934348797494
CLOUD_0.8,Inferred cloud-cover scale,-20%,Winter,-17.06981448687449,-11.689772402746936,-217.2803152829351,65.38420215201465,-69.50911167870981,-11.41009002291982,-1.534814937259523
CLOUD_1.0,Inferred cloud-cover scale,baseline,Spring,89.6268870497822,-1.4210854715202004e-14,-1.5855571004389286e-14,139.011219595105,-25.353357411434875,-25.222023297874475,1.1910481639865593
CLOUD_1.0,Inferred cloud-cover scale,baseline,Summer,91.4077389716214,0.0,0.0,150.90736060743427,-8.848507776770361,-50.35730363358201,-0.29381022546050783
CLOUD_1.0,Inferred cloud-cover scale,baseline,Autumn,33.43922136555991,-1.4210854715202004e-14,-4.2497564640778977e-14,107.51940371531228,-35.33897541130683,-35.83551350356578,-2.9056934348797494
CLOUD_1.0,Inferred cloud-cover scale,baseline,Winter,-5.38004208412756,-7.993605777301127e-15,-1.4857887080259524e-13,65.38420215201465,-57.81933927596287,-11.41009002291982,-1.534814937259523
CLOUD_1.2,Inferred cloud-cover scale,+20%,Spring,97.27186953869648,7.644982488914266,8.529786920601126,139.011219595105,-17.7083749225206,-25.222023297874475,1.1910481639865593
CLOUD_1.2,Inferred cloud-cover scale,+20%,Summer,93.67739114740736,2.2696521757859642,2.482997830731383,150.90736060743427,-6.578855600984375,-50.35730363358201,-0.29381022546050783
CLOUD_1.2,Inferred cloud-cover scale,+20%,Autumn,41.48405900112687,8.04483763556695,24.058088995614515,107.51940371531228,-27.294137775739888,-35.83551350356578,-2.9056934348797494
CLOUD_1.2,Inferred cloud-cover scale,+20%,Winter,1.0626947136333111,6.442736797760863,119.75253533366444,65.38420215201465,-51.376602478202,-11.41009002291982,-1.534814937259523
WIND_1/8,2-m to 10-m wind exponent,1/8,Spring,90.30770615980457,0.6808191100223553,0.7596148125106724,139.011219595105,-25.353357411434864,-24.507460723573985,1.1573046997084244
WIND_1/8,2-m to 10-m wind exponent,1/8,Summer,92.84273052177807,1.434991550156667,1.5698797129225315,150.90736060743427,-8.848507776770349,-48.93063599101124,-0.28548631787461015
WIND_1/8,2-m to 10-m wind exponent,1/8,Autumn,34.53679455524834,1.0975731896884184,3.2822929029646684,107.51940371531228,-35.338975411306826,-34.82026121876412,-2.823372529993
WIND_1/8,2-m to 10-m wind exponent,1/8,Winter,-5.013301299568827,0.3667407845587247,6.816689885023395,65.38420215201465,-57.81933927596285,-11.086831924095327,-1.4913322515252885
WIND_1/7 baseline,2-m to 10-m wind exponent,1/7 baseline,Spring,89.62688704978221,0.0,0.0,139.011219595105,-25.353357411434864,-25.222023297874475,1.1910481639865593
WIND_1/7 baseline,2-m to 10-m wind exponent,1/7 baseline,Summer,91.4077389716214,0.0,0.0,150.90736060743427,-8.848507776770349,-50.35730363358201,-0.29381022546050783
WIND_1/7 baseline,2-m to 10-m wind exponent,1/7 baseline,Autumn,33.43922136555992,0.0,0.0,107.51940371531228,-35.338975411306826,-35.83551350356578,-2.9056934348797494
WIND_1/7 baseline,2-m to 10-m wind exponent,1/7 baseline,Winter,-5.380042084127549,2.6645352591003757e-15,4.952629026753175e-14,65.38420215201465,-57.81933927596285,-11.41009002291982,-1.534814937259523
WIND_1/6,2-m to 10-m wind exponent,1/6,Spring,88.68814996667395,-0.9387370831082649,-1.0473833399868662,139.011219595105,-25.353357411434864,-26.207287043886463,1.237574826890284
WIND_1/6,2-m to 10-m wind exponent,1/6,Summer,89.42912268096697,-1.9786162906544291,-2.164604783921757,150.90736060743427,-8.848507776770349,-52.324442630764175,-0.30528751893276623
WIND_1/6,2-m to 10-m wind exponent,1/6,Autumn,31.9258492533228,-1.5133721122371249,-4.525739686617802,107.51940371531228,-35.338975411306826,-37.23537868717148,-3.0192003635111777
WIND_1/6,2-m to 10-m wind exponent,1/6,Winter,-5.885717041374545,-0.5056749572469936,-9.399089251343575,65.38420215201465,-57.81933927596285,-11.855809539770132,-1.5947703776562063
