Date,St(J/m2),N2_max(1/s2),log10_Rib,St_24h,N2_max_24h,log10_Rib_med24h
2024-11-24 11:00:00,0.020747874020816633,8.159099432498793e-05,2.1941455043248084,0.011460346850805048,7.172790513265334e-05,1.4677122783136691
2024-11-24 12:00:00,0.02125989795824122,8.620532465489652e-05,1.4498615709496792,0.010098637867606721,6.812253426248771e-05,1.4550648803844815
2024-11-24 13:00:00,0.015551623961099,8.654579716015235e-05,1.9835801834813942,0.010435467217631835,6.8576668632186e-05,1.4602681898192835
2024-11-24 14:00:00,0.01353320536467915,8.190442997497414e-05,1.5369770230830315,0.010470390121387875,6.938200907413721e-05,1.4751563668080545
2024-11-24 15:00:00,0.006214880250443134,6.546476750997441e-05,0.8432391742010239,0.01062507351766685,6.967034196732055e-05,1.4677122783136691
2024-11-24 16:00:00,0.009124056134209949,6.46775649491954e-05,0.8501319526088024,0.010879975865789713,6.995667161890346e-05,1.4735508280202667
2024-11-24 17:00:00,0.009643129958801584,6.639980560841923e-05,,0.01104208458532932,7.047994440172901e-05,1.471945289232479
2024-11-24 18:00:00,0.0054301117023746,6.628286372634235e-05,,0.011537716151843872,7.242002401944201e-05,1.4498615709496792
2024-11-24 19:00:00,0.0098437786797137,6.450989696944538e-05,1.3825068827474898,0.011928898689699595,7.330031276068624e-05,1.460903430091079
2024-11-24 20:00:00,0.0082295932921988,7.219480343337676e-05,1.4751563668080545,0.012091416736896586,7.355950139398759e-05,1.460903430091079
2024-11-24 21:00:00,0.010434277517052499,7.06673359225117e-05,1.3494859199151301,0.011859961564591591,7.32332117848914e-05,1.4161842268485845
2024-11-24 22:00:00,0.009666667526351036,7.582931798991085e-05,1.5414336362615548,0.012170590138417365,7.405216296040422e-05,1.36599640133131
2024-11-24 23:00:00,0.006875036051538184,4.551166923908219e-05,1.0676917329658293,0.012926878860422283,7.602820673977712e-05,1.36599640133131
2024-11-25 00:00:00,0.009409261329641901,7.020624622547442e-05,1.5863762338727874,0.012886402911376618,7.659274143654108e-05,1.3461901563316676
